repo_id,repo,default_branch,t0,t1,total_commits,total_commits_before_t0,total_commits_during_event,total_commits_after_t1,total_loc_added,total_loc_deleted,max_loc_added_single_commit,max_files_changed_single_commit,median_minutes_between_commits,median_minutes_between_commits_during_event,commits_0_3h,commits_3_6h,commits_6_12h,commits_12_24h,commits_after_24h,has_commits_before_t0,has_bulk_commits,has_large_initial_commit_after_t0,has_merge_commits
samnodier-ijwi,https://github.com/samnodier/ijwi,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,25,0,25,0,16688,911,5879,48,10.7,10.7,6,16,3,0,0,0,1,0,1
Emadsiddig-hacthon_project,https://github.com/Emadsiddig/hacthon_project,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,2,0,2,0,1990,0,1987,8,15.166666666666666,15.166666666666666,0,2,0,0,0,0,1,1,0
nshizirunguwilson-izere,https://github.com/nshizirunguwilson/izere,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,14,0,14,0,14307,922,6519,16,6.666666666666667,6.666666666666667,0,14,0,0,0,0,1,1,0
jeid12-kscart,https://github.com/jeid12/kscart.git,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,7,0,7,0,6479,105,4788,41,18.55,18.55,0,6,1,0,0,0,1,1,0
tom-cruiser-finished-cursor-challenge,https://github.com/tom-cruiser/finished-cursor-challenge,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,1,0,1,0,20404,0,20404,139,,,0,1,0,0,0,0,1,1,0
IshimwePatience-Competition,https://github.com/IshimwePatience/Competition.git,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,36,0,36,0,791101,2581,747964,3939,5.783333333333333,5.783333333333333,1,26,9,0,0,0,1,1,1
gentil-lenoir-cursor-hackaton-cir,https://github.com/gentil-lenoir/cursor-hackaton-cir.git,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,15,0,15,0,37653,7876,15918,176,13.841666666666667,13.841666666666667,3,10,2,0,0,0,1,1,0
Dengkuat-Kwami-Ai,https://github.com/Dengkuat/Kwami-Ai,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,14,0,14,0,450147,5547,434124,644,22.133333333333333,22.133333333333333,3,7,4,0,0,0,1,1,1
DrSense-mentor-cockpit,https://github.com/DrSense/mentor-cockpit,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,16,0,16,0,18676,1241,12436,51,7.65,7.65,0,14,2,0,0,0,1,1,0
emilejosue100-boop-terura,https://github.com/emilejosue100-boop/terura,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,10,0,10,0,12891,1729,8355,55,4.583333333333333,4.583333333333333,0,10,0,0,0,0,1,0,1
NganjiX-TrackIt,https://github.com/NganjiX/TrackIt,main,2026-07-05T06:00:00+00:00,2026-07-05T20:00:00+00:00,7,0,7,0,37704,102,37201,269,32.03333333333333,32.03333333333333,0,2,5,0,0,0,1,1,0
